Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"ArcticZymes Techno";NO0010014632;AZT;"Oslo Børs";NOK;65.40;69.80;63.80;69.40;"03/12/20 16:28";CET;363640;24369359.00
Arcus;NO0010776875;ARCUS;"Oslo Børs";NOK;43.80;44.30;43.70;44.00;"03/12/20 16:13";CET;13993;613358.20
"Arendals Fossekomp";NO0003572802;AFK;"Oslo Børs";NOK;180.00;180.00;177.00;180.00;"03/12/20 16:07";CET;2023;361235.00
"Arribatec Solution";NO0003108102;ARR;"Oslo Børs";NOK;2.41;2.49;2.25;2.38;"03/12/20 16:25";CET;3419221;8208102.57
Asetek;DK0060477263;ASTK;"Oslo Børs";NOK;95.00;96.50;93.00;95.40;"03/12/20 16:25";CET;33924;3222725.30
Atea;NO0004822503;ATEA;"Oslo Børs";NOK;117.20;117.20;113.00;113.80;"03/12/20 16:25";CET;41260;4711522.40
"Atlantic Petroleum";FO000A0DN9X4;ATLA;"Oslo Børs";NOK;7.26;7.26;7.14;7.14;"03/12/20 15:40";CET;9169;65466.78
"Atlantic Sapphire";NO0010768500;ASA;"Oslo Børs";NOK;103.50;103.50;100.50;101.00;"03/12/20 16:25";CET;329031;33258827.00
"Aurskog Sparebank";NO0006001601;AURG;"Oslo Børs";NOK;202.00;202.00;202.00;202.00;"02/12/20 09:42";CET;359;6777.17
"Austevoll Seafood";NO0010073489;AUSS;"Oslo Børs";NOK;83.00;83.20;82.20;82.80;"03/12/20 16:25";CET;140935;11651523.85
"Avance Gas Holding";BMG067231032;AGAS;"Oslo Børs";NOK;37.40;38.72;37.40;38.60;"03/12/20 16:25";CET;758282;29017414.98
"Awilco Drilling";GB00B5LJSC86;AWDR;"Oslo Børs";NOK;3.26;3.55;3.26;3.40;"03/12/20 15:18";CET;24073;82963.31
"Awilco LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;1.03;1.055;1.02;1.04;"03/12/20 16:25";CET;112044;116325.635
Axactor;NO0010840515;AXA;"Oslo Børs";NOK;9.15;9.26;8.90;8.95;"03/12/20 16:25";CET;1208444;10920512.17
"Axxis Geo Solution";NO0010778095;AXXIS;"Euronext Expand Oslo";NOK;0.52;0.534;0.50;0.522;"03/12/20 16:13";CET;1005531;517015.46
"ayfie Group";NO0010793243;AYFIE;"Euronext Growth Oslo";NOK;1.75;1.78;1.75;1.78;"03/12/20 16:12";CET;38919;68908.25
B2Holding;NO0010633951;B2H;"Oslo Børs";NOK;6.73;6.78;6.58;6.63;"03/12/20 16:25";CET;1027572;6843453.49
Bakkafrost;FO0000000179;BAKKA;"Oslo Børs";NOK;562.00;566.50;555.00;560.00;"03/12/20 16:25";CET;115226;64496215.00
"Baltic Sea Prop";NO0010810476;BALT;"Euronext Growth Oslo";NOK;50.00;50.00;50.00;50.00;"25/11/20 00:00";CET;30;1500.00
Belships;NO0003094104;BELCO;"Oslo Børs";NOK;5.85;5.85;5.85;5.85;"03/12/20 15:37";CET;3000;17550.00
BerGenBio;NO0010650013;BGBIO;"Oslo Børs";NOK;32.15;32.30;31.25;32.05;"03/12/20 16:25";CET;272447;8644319.75
BEWi;NO0010890965;BEWI;"Euronext Growth Oslo";NOK;21.10;21.10;20.80;20.80;"03/12/20 16:25";CET;31793;666582.50
"Black Sea Property";NO0010755101;BSP;"Euronext Growth Oslo";NOK;2.02;2.60;1.97;2.60;"03/12/20 15:13";CET;4225;9931.20
Bonheur;NO0003110603;BONHR;"Oslo Børs";NOK;235.00;235.00;230.00;232.00;"03/12/20 16:25";CET;14931;3458318.50
Borgestad;NO0003111700;BOR;"Oslo Børs";NOK;16.10;16.10;15.80;15.80;"03/12/20 13:41";CET;180;2874.00
"Borr Drilling";BMG1466R2078;BORR;"Oslo Børs";NOK;6.55;7.50;6.55;7.365;"03/12/20 16:25";CET;2515779;17631445.675
Borregaard;NO0010657505;BRG;"Oslo Børs";NOK;133.80;133.80;132.40;132.80;"03/12/20 16:25";CET;51582;6859029.80
Bouvet;NO0010360266;BOUV;"Oslo Børs";NOK;660.00;670.00;660.00;670.00;"03/12/20 16:25";CET;2294;1527284.00
BRAbank;NO0010167331;BRA;"Euronext Growth Oslo";NOK;7.00;7.469;6.90;7.469;"03/12/20 13:55";CET;3731;26197.728
"BW Energy Limited";BMG0702P1086;BWE;"Oslo Børs";NOK;21.50;22.12;20.58;21.90;"03/12/20 16:25";CET;236181;5049350.08
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;54.50;55.75;54.10;55.00;"03/12/20 16:25";CET;497474;27348930.70
"BW Offshore Ltd";BMG1738J1247;BWO;"Oslo Børs";NOK;34.34;34.76;33.56;33.72;"03/12/20 16:25";CET;482629;16447937.64
Byggma;NO0003087603;BMA;"Oslo Børs";NOK;133.00;134.00;133.00;133.00;"03/12/20 12:58";CET;520;69483.00
Cadeler;DK0061412772;CADLR;"Oslo Børs";NOK;23.94;23.94;23.50;23.50;"03/12/20 16:25";CET;1895088;44540786.945
Carasent;NO0010123060;CARA;"Oslo Børs";NOK;27.60;28.70;27.60;28.50;"03/12/20 16:09";CET;69723;1964763.60
"Cloudberry Clean";NO0010876642;CLOUD;"Euronext Growth Oslo";NOK;12.248;12.29;11.60;12.29;"03/12/20 16:25";CET;33787;402699.40
ContextVision;SE0014731154;CONTX;"Oslo Børs";NOK;20.50;20.95;20.27;20.30;"03/12/20 16:19";CET;141380;2904634.295
"Crayon Group Hold";NO0010808892;CRAYN;"Oslo Børs";NOK;110.00;112.00;108.20;112.00;"03/12/20 16:25";CET;62823;6954310.40
"CSAM Health Group";NO0010894512;CSAM;"Euronext Growth Oslo";NOK;94.25;94.25;88.00;90.00;"03/12/20 16:26";CET;45892;4199773.13
DNB;NO0010031479;DNB;"Oslo Børs";NOK;162.35;162.35;160.65;161.20;"03/12/20 16:26";CET;1418645;228757143.10
DNO;NO0003921009;DNO;"Oslo Børs";NOK;6.16;6.23;6.00;6.128;"03/12/20 16:25";CET;3229211;19756352.324
DOF;NO0010070063;DOF;"Oslo Børs";NOK;0.4405;0.479;0.428;0.435;"03/12/20 16:25";CET;2877508;1274110.617
"EAM Solar";NO0010607781;EAM;"Euronext Expand Oslo";NOK;13.60;13.90;13.25;13.45;"03/12/20 15:27";CET;10101;137220.40
"Eidesvik Offshore";NO0010263023;EIOF;"Oslo Børs";NOK;3.08;3.30;2.90;3.10;"03/12/20 16:28";CET;1666781;5119063.20
"Electromagnet Geo";NO0010358484;EMGS;"Oslo Børs";NOK;1.264;1.38;1.264;1.338;"03/12/20 16:28";CET;2446246;3239474.096
Element;NO0003055808;ELE;"Oslo Børs";NOK;4.355;4.79;4.32;4.70;"03/12/20 16:25";CET;512564;2340598.31
Elkem;NO0010816093;ELK;"Oslo Børs";NOK;28.80;29.24;28.40;28.90;"03/12/20 16:29";CET;572070;16507312.46
"Elliptic Laborator";NO0010722283;ELABS;"Euronext Growth Oslo";NOK;119.00;121.00;118.50;120.48;"03/12/20 15:49";CET;28014;3359870.62
ELOP;NO0010864036;ELOP;"Euronext Growth Oslo";NOK;8.45;8.50;8.10;8.50;"03/12/20 16:25";CET;93892;777875.033
Endúr;NO0010379779;ENDUR;"Oslo Børs";NOK;1.125;1.185;1.125;1.175;"03/12/20 16:29";CET;3284619;3800154.30
Entra;NO0010716418;ENTRA;"Oslo Børs";NOK;178.30;179.30;178.00;178.00;"03/12/20 16:25";CET;804476;143584200.00
"Epic Gas";VGG3175Q1081;EPIC;"Euronext Growth Oslo";NOK;14.30;15.10;14.30;14.40;"02/12/20 14:02";CET;34;46.71
Equinor;NO0010096985;EQNR;"Oslo Børs";NOK;143.15;143.55;140.80;141.80;"03/12/20 16:25";CET;3263769;463212348.45
Europris;NO0010735343;EPR;"Oslo Børs";NOK;49.10;49.44;48.76;48.88;"03/12/20 16:25";CET;425352;20847609.80
Everfuel;DK0061414711;EFUEL;"Euronext Growth Oslo";NOK;70.00;74.00;64.06;65.20;"03/12/20 16:28";CET;482957;33029259.74
"EXACT Therapeutics";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;26.00;27.50;26.00;27.00;"03/12/20 15:11";CET;3634;97667.00
Fjord1;NO0010792625;FJORD;"Oslo Børs";NOK;43.50;43.90;42.80;43.80;"03/12/20 16:25";CET;11493;497041.70
"Fjordkraft Holding";NO0010815673;FKRFT;"Oslo Børs";NOK;82.20;82.30;81.10;81.80;"03/12/20 16:25";CET;277039;22655285.20
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;68.30;69.75;68.10;68.30;"03/12/20 16:25";CET;99059;6811085.85
Frontline;BMG3682E1921;FRO;"Oslo Børs";NOK;54.25;55.30;53.40;54.35;"03/12/20 16:25";CET;901833;49249836.85
"Gaming Innovation";US36467X2062;GIG;"Oslo Børs";NOK;11.50;11.56;11.02;11.56;"03/12/20 16:25";CET;79983;902135.62
"GC Rieber Shipping";NO0010262686;RISH;"Oslo Børs";NOK;6.75;6.75;6.50;6.65;"03/12/20 12:51";CET;12185;80568.05
"Gentian Diagnostic";NO0010748866;GENT;"Euronext Growth Oslo";NOK;63.00;63.00;60.50;61.50;"03/12/20 16:25";CET;6148;376041.50
"Gjensidige Forsikr";NO0010582521;GJF;"Oslo Børs";NOK;194.30;194.60;191.20;192.10;"03/12/20 16:25";CET;377965;72663662.80
"Golden Energy Off";NO0010813843;GEOS;"Euronext Growth Oslo";NOK;0.805;0.93;0.805;0.875;"03/12/20 16:02";CET;24147;21750.385
"Golden Ocean Group";BMG396372051;GOGL;"Oslo Børs";NOK;36.44;37.10;36.34;36.60;"03/12/20 16:25";CET;441871;16192486.42
Goodtech;NO0004913609;GOD;"Oslo Børs";NOK;11.30;12.10;11.30;11.50;"03/12/20 16:25";CET;657251;7618153.60
"Grieg Seafood";NO0010365521;GSF;"Oslo Børs";NOK;78.95;79.00;76.15;76.60;"03/12/20 16:25";CET;479829;36879837.7658
"Grong Sparebank";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;119.00;119.00;119.00;119.00;"03/12/20 14:44";CET;109;12971.00
Gyldendal;NO0004288200;GYL;"Oslo Børs";NOK;456.00;472.00;456.00;472.00;"03/12/20 15:52";CET;106;49206.00
"Hafnia Limited";BMG4233B1090;HAFNI;"Oslo Børs";NOK;14.78;14.78;14.16;14.16;"03/12/20 16:25";CET;107316;1548396.74
"Havila Shipping";NO0010257728;HAVI;"Oslo Børs";NOK;2.69;2.79;2.55;2.65;"03/12/20 16:16";CET;80087;215616.22
"Havyard Group";NO0010708605;HYARD;"Oslo Børs";NOK;10.05;10.25;9.34;9.70;"03/12/20 16:25";CET;341205;3321331.44
"Helgeland Sparebk";NO0010029804;HELG;"Oslo Børs";NOK;87.00;87.00;86.00;86.50;"03/12/20 14:53";CET;2626;227147.50
"Hexagon Composites";NO0003067902;HEX;"Oslo Børs";NOK;59.45;59.50;56.35;56.35;"03/12/20 16:25";CET;889475;51493541.35
"Höegh LNG Holding";BMG454221059;HLNG;"Oslo Børs";NOK;13.60;13.94;13.58;13.90;"03/12/20 16:25";CET;19339;266821.00
"Hofseth BioCare";NO0010598683;HBC;"Euronext Expand Oslo";NOK;9.00;9.48;9.00;9.20;"03/12/20 16:19";CET;74476;683991.72
"House of Control";NO0010781818;HOC;"Euronext Growth Oslo";NOK;18.50;19.00;18.002;19.00;"03/12/20 15:11";CET;8814;164300.50
"Huddlestock Fintec";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;2.25;2.25;2.01;2.1995;"03/12/20 16:00";CET;65255;140881.4825
"Hunter Group";NO0010283211;HUNT;"Euronext Expand Oslo";NOK;3.44;3.47;3.425;3.44;"03/12/20 16:25";CET;787586;2720983.83
HydrogenPro;NO0010892359;HYPRO;"Euronext Growth Oslo";NOK;41.00;42.895;38.60;39.50;"03/12/20 16:25";CET;139554;5640212.845
"Høland og Setskog";NO0010012636;HSPG;"Oslo Børs";NOK;120.00;120.00;120.00;120.00;"03/12/20 11:52";CET;343;41160.00
"Ice Fish Farm";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;44.51;45.00;44.005;44.80;"03/12/20 16:17";CET;12378;552171.41
"Ice Group";NO0010734742;ICEGR;"Euronext Expand Oslo";NOK;16.85;16.95;16.75;16.90;"03/12/20 16:25";CET;14714;247721.85
"Icelandic Salmon";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;106.00;110.00;106.00;110.00;"03/12/20 15:36";CET;16297;1792578.00
"IDEX Biometrics";NO0003070609;IDEX;"Oslo Børs";NOK;2.50;2.79;2.475;2.67;"03/12/20 16:29";CET;35419933;93659305.285
Induct;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;9.20;9.20;9.20;9.20;"03/12/20 15:58";CET;4440;40848.00
Infront;NO0010789506;INFRO;"Oslo Børs";NOK;26.00;26.30;26.00;26.30;"03/12/20 16:18";CET;4951;129686.30
"Insr Insurance Gp";NO0010593544;INSR;"Oslo Børs";NOK;0.67;0.682;0.65;0.66;"03/12/20 16:17";CET;627318;414606.646
Instabank;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;1.45;1.45;1.35;1.40;"03/12/20 14:25";CET;23649;32317.526
"Interoil Expl Prod";NO0010284318;IOX;"Oslo Børs";NOK;1.15;1.25;1.148;1.208;"03/12/20 16:25";CET;761806;908523.036
Itera;NO0010001118;ITERA;"Oslo Børs";NOK;14.20;14.20;13.90;14.15;"03/12/20 16:19";CET;15590;219421.30
"Jinhui Shipp Trans";BMG5137R1088;JIN;"Oslo Børs";NOK;3.55;3.69;3.45;3.64;"03/12/20 16:11";CET;103419;368213.81
"JP Kenny Petroleum";GB00BF2PG875;JPK;"Euronext Growth Oslo";NOK;4.26;5.00;4.26;5.00;"30/11/20 15:08";CET;759;324.31
"Jæren Sparebank";NO0010359433;JAREN;"Oslo Børs";NOK;158.00;159.00;158.00;159.00;"03/12/20 15:51";CET;300;47445.00
Kahoot!;NO0010823131;KAHOT;"Euronext Growth Oslo";NOK;62.70;66.70;62.50;65.50;"03/12/20 16:26";CET;1759286;114386009.70
Kalera;NO0010874597;KAL;"Euronext Growth Oslo";NOK;23.65;24.81;22.85;23.40;"03/12/20 16:25";CET;163558;3840825.385
Kid;NO0010743545;KID;"Oslo Børs";NOK;92.80;95.40;92.80;93.20;"03/12/20 16:25";CET;80086;7534046.20
Kitron;NO0003079709;KIT;"Oslo Børs";NOK;17.68;17.90;17.48;17.70;"03/12/20 16:25";CET;251076;4421388.96
